feature,importance
volatility_60d,123.66705183982849
log_ret_60d,76.27850008010864
beta_60d,70.44403047561646
atr_norm,67.60417556762695
macd_hist,57.911401176452635
log_ret_20d,53.38729453086853
obv_roc_20,44.38554439544678
macd,44.23089647293091
macd_signal,43.92639193534851
volatility_20d,41.88660593032837
bb_pctb,36.713735580444336
excess_ret_5d,35.94228610992432
sma_dev_20,33.89646401405334
vol_chg_5d,23.941111755371093
sma_dev_60,21.73742995262146
log_ret_5d,17.65872802734375
sma_dev_5,15.89593427181244
turnover_ratio_20,10.540433979034423
close_location,10.116320085525512
excess_ret_20d,10.045365905761718
rsi_14,8.876460003852845
intraday_range,6.184610080718994
vol_chg_1d,4.264888095855713
log_ret_1d,2.6597100257873536
