iter	Logloss
0	0.6705466104
1	0.6492961656
2	0.6279765806
3	0.6090867905
4	0.5908076028
5	0.573447793
6	0.5669326387
7	0.555741582
8	0.5391876025
9	0.5304941405
10	0.5161111792
11	0.5079691816
12	0.4984983788
13	0.4933465929
14	0.4828830458
15	0.4710369842
16	0.4593025324
17	0.4495424813
18	0.4406155623
19	0.4357560888
20	0.4266783706
21	0.4179074979
22	0.4114018379
23	0.4064311516
24	0.4018622899
25	0.3978772407
26	0.3932559738
27	0.3882432859
28	0.3831481728
29	0.3793881574
30	0.3734282013
31	0.3663826569
32	0.3638592325
33	0.358159051
34	0.3548133209
35	0.3510132508
36	0.347773001
37	0.3429347733
38	0.3395458945
39	0.334492688
40	0.3307725774
41	0.3264388742
42	0.3220860245
43	0.3179054897
44	0.3138148906
45	0.309161241
46	0.3042709109
47	0.3001185344
48	0.2953267303
49	0.2915583313
50	0.2874191157
51	0.2843526548
52	0.279379321
53	0.2765402509
54	0.2742928528
55	0.2710502037
56	0.2684276398
57	0.2657741164
58	0.2629471227
59	0.2601199829
60	0.2572035053
61	0.2540999966
62	0.2522984898
63	0.250049074
64	0.2466210087
65	0.2451829533
66	0.2412624717
67	0.2392505105
68	0.2366353956
69	0.2345426866
70	0.2330128672
71	0.2301717596
72	0.2275416316
73	0.2243974824
74	0.2221294345
75	0.2195352216
76	0.2171957145
77	0.2143585722
78	0.2130551303
79	0.2120147518
80	0.2088858765
81	0.2054657276
82	0.2037205459
83	0.2025344302
84	0.2004616893
