iter	Passed	Remaining
0	2	2890
1	4	2098
2	5	1905
3	7	1813
4	8	1691
5	9	1603
6	11	1650
7	13	1622
8	14	1571
9	15	1549
10	16	1523
11	18	1505
12	19	1489
13	20	1468
14	21	1443
15	24	1494
16	25	1502
17	27	1515
18	29	1512
19	30	1504
20	32	1497
21	33	1480
22	34	1480
23	36	1471
24	37	1456
25	38	1453
26	40	1458
27	41	1454
28	43	1455
29	45	1466
30	46	1461
31	48	1459
32	49	1451
33	50	1448
34	52	1439
35	53	1440
36	55	1436
37	56	1436
38	58	1430
39	59	1431
40	60	1423
41	62	1420
42	64	1443
43	66	1438
44	68	1449
45	69	1445
46	71	1447
47	73	1448
48	74	1441
49	75	1436
50	76	1428
51	78	1422
52	79	1420
53	81	1419
54	82	1422
55	84	1420
56	86	1426
57	87	1428
58	89	1429
59	90	1424
60	92	1423
61	93	1419
62	95	1414
63	96	1410
64	97	1404
65	98	1399
66	100	1401
67	102	1403
68	104	1408
69	105	1404
70	107	1400
71	108	1399
72	109	1392
73	111	1390
74	112	1387
75	113	1384
76	115	1382
77	116	1380
78	118	1378
79	119	1379
80	121	1376
81	123	1378
82	125	1383
83	126	1378
84	127	1375
